# Serengeti Food Web - Predatory Interactions (Mammal-Mammal)
# Source: Baskerville et al. 2011, PLOS Computational Biology
# DOI: 10.1371/journal.pcbi.1002321
# Table S2 subset - 85 predatory links
Predator_Code,Prey_Code,Predator_Species,Prey_Species
ACIJUB,AEPMEL,Acinonyx jubatus,Aepyceros melampus
ACIJUB,CONTAU,Acinonyx jubatus,Connochaetes taurinus
ACIJUB,GAZGRA,Acinonyx jubatus,Nanger granti
ACIJUB,GAZTHO,Acinonyx jubatus,Eudorcas thomsonii
ACIJUB,MADKIR,Acinonyx jubatus,Madoqua kirkii
ACIJUB,OUROUR,Acinonyx jubatus,Ourebia ourebi
ACIJUB,PHAAET,Acinonyx jubatus,Phacochoerus africanus
ACIJUB,REDRED,Acinonyx jubatus,Redunca redunca
CANAUR,CONTAU,Canis aureus,Connochaetes taurinus
CANAUR,EQUBUR,Canis aureus,Equus quagga
CANAUR,GAZGRA,Canis aureus,Nanger granti
CANAUR,GAZTHO,Canis aureus,Eudorcas thomsonii
CANMES,MADKIR,Canis mesomelas,Madoqua kirkii
CARCAR,MADKIR,Caracal caracal,Madoqua kirkii
CARCAR,PEDCAP,Caracal caracal,Pedetes capensis
CARCAR,PROCAP,Caracal caracal,Procavia capensis
CARCAR,RHAPUM,Caracal caracal,Rhabdomys pumilio
CROCRO,AEPMEL,Crocuta crocuta,Aepyceros melampus
CROCRO,ALCBUS,Crocuta crocuta,Alcelaphus buselaphus
CROCRO,CONTAU,Crocuta crocuta,Connochaetes taurinus
CROCRO,DAMKOR,Crocuta crocuta,Damaliscus korrigum
CROCRO,EQUBUR,Crocuta crocuta,Equus quagga
CROCRO,GAZGRA,Crocuta crocuta,Nanger granti
CROCRO,GAZTHO,Crocuta crocuta,Eudorcas thomsonii
CROCRO,KOBELL,Crocuta crocuta,Kobus ellipsiprymnus
CROCRO,MADKIR,Crocuta crocuta,Madoqua kirkii
CROCRO,OUROUR,Crocuta crocuta,Ourebia ourebi
CROCRO,PHAAET,Crocuta crocuta,Phacochoerus africanus
CROCRO,REDRED,Crocuta crocuta,Redunca redunca
LEPSER,RHAPUM,Leptailurus serval,Rhabdomys pumilio
LYCPIC,AEPMEL,Lycaon pictus,Aepyceros melampus
LYCPIC,ALCBUS,Lycaon pictus,Alcelaphus buselaphus
LYCPIC,CONTAU,Lycaon pictus,Connochaetes taurinus
LYCPIC,DAMKOR,Lycaon pictus,Damaliscus korrigum
LYCPIC,EQUBUR,Lycaon pictus,Equus quagga
LYCPIC,GAZGRA,Lycaon pictus,Nanger granti
LYCPIC,GAZTHO,Lycaon pictus,Eudorcas thomsonii
LYCPIC,KOBELL,Lycaon pictus,Kobus ellipsiprymnus
LYCPIC,MADKIR,Lycaon pictus,Madoqua kirkii
LYCPIC,OUROUR,Lycaon pictus,Ourebia ourebi
LYCPIC,PHAAET,Lycaon pictus,Phacochoerus africanus
LYCPIC,REDRED,Lycaon pictus,Redunca redunca
LYCPIC,RHAPUM,Lycaon pictus,Rhabdomys pumilio
LYCPIC,TRASCR,Lycaon pictus,Tragelaphus scriptus
PANLEO,AEPMEL,Panthera leo,Aepyceros melampus
PANLEO,ALCBUS,Panthera leo,Alcelaphus buselaphus
PANLEO,CONTAU,Panthera leo,Connochaetes taurinus
PANLEO,CROCRO,Panthera leo,Crocuta crocuta
PANLEO,DAMKOR,Panthera leo,Damaliscus korrigum
PANLEO,EQUBUR,Panthera leo,Equus quagga
PANLEO,GAZGRA,Panthera leo,Nanger granti
PANLEO,GAZTHO,Panthera leo,Eudorcas thomsonii
PANLEO,GIRCAM,Panthera leo,Giraffa camelopardalis
PANLEO,KOBELL,Panthera leo,Kobus ellipsiprymnus
PANLEO,MADKIR,Panthera leo,Madoqua kirkii
PANLEO,OUROUR,Panthera leo,Ourebia ourebi
PANLEO,PANLEO,Panthera leo,Panthera leo
PANLEO,PHAAET,Panthera leo,Phacochoerus africanus
PANLEO,REDRED,Panthera leo,Redunca redunca
PANLEO,RHAPUM,Panthera leo,Rhabdomys pumilio
PANLEO,SYNCAF,Panthera leo,Syncerus caffer
PANLEO,TAUORY,Panthera leo,Taurotragus oryx
PANLEO,TRASCR,Panthera leo,Tragelaphus scriptus
PANPAR,ACIJUB,Panthera pardus,Acinonyx jubatus
PANPAR,AEPMEL,Panthera pardus,Aepyceros melampus
PANPAR,ALCBUS,Panthera pardus,Alcelaphus buselaphus
PANPAR,CANAUR,Panthera pardus,Canis aureus
PANPAR,CANMES,Panthera pardus,Canis mesomelas
PANPAR,CONTAU,Panthera pardus,Connochaetes taurinus
PANPAR,DAMKOR,Panthera pardus,Damaliscus korrigum
PANPAR,EQUBUR,Panthera pardus,Equus quagga
PANPAR,GAZGRA,Panthera pardus,Nanger granti
PANPAR,GAZTHO,Panthera pardus,Eudorcas thomsonii
PANPAR,HETBRU,Panthera pardus,Heterohyrax brucei
PANPAR,KOBELL,Panthera pardus,Kobus ellipsiprymnus
PANPAR,LEPSER,Panthera pardus,Leptailurus serval
PANPAR,MADKIR,Panthera pardus,Madoqua kirkii
PANPAR,OUROUR,Panthera pardus,Ourebia ourebi
PANPAR,PAPANU,Panthera pardus,Papio anubis
PANPAR,PEDCAP,Panthera pardus,Pedetes capensis
PANPAR,PHAAET,Panthera pardus,Phacochoerus africanus
PANPAR,REDRED,Panthera pardus,Redunca redunca
PANPAR,RHAPUM,Panthera pardus,Rhabdomys pumilio
PANPAR,TAUORY,Panthera pardus,Taurotragus oryx
PANPAR,TRASCR,Panthera pardus,Tragelaphus scriptus
