# Serengeti Food Web Species List
# Source: Baskerville et al. 2011, PLOS Computational Biology
# DOI: 10.1371/journal.pcbi.1002321
# Table S1 - Species in the Serengeti food web
Code,Scientific_Name,Trophic_Role
ABU,Abutilon spp.,Plant
ACAFRU,Acalypha fruticosa,Plant
ACAROB,Acacia robusta,Plant
ACASEN,Acacia senegal,Plant
ACASEY,Acacia seyal,Plant
ACATOR,Acacia tortilis,Plant
ACAXAN,Acacia xanthophloea,Plant
ACHASP,Achyranthes aspera,Plant
ACIJUB,Acinonyx jubatus,Carnivore
AEPMEL,Aepyceros melampus,Herbivore
ALBHAR,Albizia harveyi,Plant
ALBU,Albuca spp.,Plant
ALCBUS,Alcelaphus buselaphus,Herbivore
ALLRUB,Allophylus rubifolius,Plant
ALOMAC,Aloe macrosiphon,Plant
ALOSEC,Aloe secundiflora,Plant
ANDGRE,Andropogon greenwayi,Plant
ANDSCH,Andropogon schirensis,Plant
ARI,Aristida spp.,Plant
BALAEG,Balanites aegyptiaca,Plant
BLEACA,Blepharis acanthodioides,Plant
BOSAUG,Boscia augustifolia,Plant
BOTINS,Bothriochloa insculpta,Plant
BRASEM,Brachiaria semiundulata,Plant
CANAUR,Canis aureus,Carnivore
CANMES,Canis mesomelas,Carnivore
CAPTOM,Capparis tomentosa,Plant
CARCAR,Caracal caracal,Carnivore
CECCIL,Pennisetum ciliare,Plant
CHLGAY,Chloris gayana,Plant
CHLPYC,Chloris pycnothrix,Plant
CHLROX,Chloris roxburghiana,Plant
CISQUA,Cissus quadrangularis,Plant
CISROT,Cissus rotundifolia,Plant
COMMEAFR,Commelina africana,Plant
COMMER,Commiphora merkeri,Plant
COMMIAFR,Commiphora trothae,Plant
COMMOL,Combretum molle,Plant
COMSCH,Commiphora schimperi,Plant
CONTAU,Connochaetes taurinus,Herbivore
COROVA,Cordia ovalis,Plant
CROCRO,Crocuta crocuta,Carnivore
CRODIC,Croton dichogamus,Plant
CROMAC,Croton macrostachyus,Plant
CROSPI,Crotalaria spinosa,Plant
CYMEXC,Cymbopogon excavatus,Plant
CYNDAC,Cynodon dactylon,Plant
CYP,Cyperus spp.,Plant
CYPH,Cyphostemma spp.,Plant
DAMKOR,Damaliscus korrigum,Herbivore
DIGDIA,Digitaria diagonalis,Plant
DIGMAC,Digitaria macroblephara,Plant
DIGMIL,Digitaria milanjiana,Plant
DIGSCA,Digitaria scalarum,Plant
DIGTER,Digitaria ternata,Plant
DIGVEL,Digitaria velutina,Plant
DIHAMP,Diheteropogon amplectens,Plant
DINRET,Dinebra retroflexa,Plant
DUOKIL,Duosperma kilimandscharica,Plant
ECHHAP,Echinochloa haploclada,Plant
EMICOC,Emilia coccinea,Plant
EQUBUR,Equus quagga,Herbivore
ERAASP,Eragrostis aspera,Plant
ERACIL,Eragrostis cilianensis,Plant
ERAEXA,Eragrostis exasperata,Plant
ERATEN,Eragrostis tenuifolia,Plant
ERINUB,Eriochloa nubica,Plant
EUPCAN,Euphorbia candelabrum,Plant
EUSPAS,Eustachys paspaloides,Plant
FICGLU,Ficus glumosa,Plant
FICING,Ficus ingens,Plant
FICTHI,Ficus thonningii,Plant
GAZGRA,Nanger granti,Herbivore
GAZTHO,Eudorcas thomsonii,Herbivore
GIRCAM,Giraffa camelopardalis,Herbivore
GREBIC,Grewia bicolor,Plant
GREFAL,Grewia fallax,Plant
GRETRI,Grewia trichocarpa,Plant
HARSCH,Harpachne schimperi,Plant
HELSTE,Heliotropium steudneri,Plant
HETBRU,Heterohyrax brucei,Herbivore
HETCON,Heteropogon contortus,Plant
HIB,Hibiscus spp.,Plant
HIBLUN,Hibiscus lunariifolius,Plant
HIPAMP,Hippopotamus amphibius,Herbivore
HOSOPP,Hoslundia opposita,Plant
HYPDIS,Hyperthelia dissoluta,Plant
HYPFIL,Hyparrhenia filipendula,Plant
HYPFOR,Hypoestes forskaolii,Plant
HYPRUF,Hyparrhenia rufa,Plant
IBO,Iboza spp.,Plant
INDBAS,Indigofera basiflora,Plant
INDHOC,Indigofera hochstetteri,Plant
IPOOBS,Ipomoea obscura,Plant
JAS,Jasminum spp.,Plant
KAL,Kalanchoe spp.,Plant
KEDFOE,Kedrostis foetidissima,Plant
KIGAFR,Kigelia africana,Plant
KOBELL,Kobus ellipsiprymnus,Herbivore
KYLNER,Kyllinga nervosa,Plant
LEPSER,Leptailurus serval,Carnivore
LIPUKA,Lippia ukambensis,Plant
LONERI,Lonchocarpus eriocalyx,Plant
LOXAFR,Loxodonta africana,Herbivore
LYCPIC,Lycaon pictus,Carnivore
MADKIR,Madoqua kirkii,Herbivore
MAETRI,Maerua cafra,Plant
MICKUN,Microchloa kunthii,Plant
OCI,Ocimum spp.,Plant
